time,value
2003-05-01,98.10346
2003-06-01,98.40067
2003-07-01,98.74852
2003-08-01,99.13564
2003-09-01,99.55
2003-10-01,99.96984
2003-11-01,100.3611
2003-12-01,100.6891
2004-01-01,100.9362
2004-02-01,101.0838
2004-03-01,101.1522
2004-04-01,101.1542
2004-05-01,101.1104
2004-06-01,101.0307
2004-07-01,100.9211
2004-08-01,100.7985
2004-09-01,100.6907
2004-10-01,100.6172
2004-11-01,100.5869
2004-12-01,100.5724
2005-01-01,100.5364
2005-02-01,100.4718
2005-03-01,100.3902
2005-04-01,100.3287
2005-05-01,100.314
2005-06-01,100.344
2005-07-01,100.3925
2005-08-01,100.4628
2005-09-01,100.5702
2005-10-01,100.7273
2005-11-01,100.9194
2005-12-01,101.1048
2006-01-01,101.2502
2006-02-01,101.3438
2006-03-01,101.3774
2006-04-01,101.3501
2006-05-01,101.2875
2006-06-01,101.2281
2006-07-01,101.1935
2006-08-01,101.2042
2006-09-01,101.2692
2006-10-01,101.3674
2006-11-01,101.4818
2006-12-01,101.6046
2007-01-01,101.7248
2007-02-01,101.8434
2007-03-01,101.9673
2007-04-01,102.0858
2007-05-01,102.1752
2007-06-01,102.2178
2007-07-01,102.1991
2007-08-01,102.1173
2007-09-01,102.0017
2007-10-01,101.8739
2007-11-01,101.7395
2007-12-01,101.6107
2008-01-01,101.4768
2008-02-01,101.3235
2008-03-01,101.151
2008-04-01,100.9381
2008-05-01,100.6541
2008-06-01,100.255
2008-07-01,99.70704
2008-08-01,98.99564
2008-09-01,98.13533
2008-10-01,97.1902
2008-11-01,96.28692
2008-12-01,95.52929
2009-01-01,94.98275
2009-02-01,94.68504
2009-03-01,94.65344
2009-04-01,94.87517
2009-05-01,95.27601
2009-06-01,95.78484
2009-07-01,96.33904
2009-08-01,96.89845
2009-09-01,97.4332
2009-10-01,97.92718
2009-11-01,98.38035
2009-12-01,98.79697
2010-01-01,99.15741
2010-02-01,99.42823
2010-03-01,99.61086
2010-04-01,99.6868
2010-05-01,99.66624
2010-06-01,99.58984
2010-07-01,99.52406
2010-08-01,99.52068
2010-09-01,99.59124
2010-10-01,99.72078
2010-11-01,99.90184
2010-12-01,100.0942
2011-01-01,100.2553
2011-02-01,100.3486
2011-03-01,100.3374
2011-04-01,100.2208
2011-05-01,100.0128
2011-06-01,99.73373
2011-07-01,99.43495
2011-08-01,99.18516
2011-09-01,99.0555
2011-10-01,99.07875
2011-11-01,99.23095
2011-12-01,99.45699
2012-01-01,99.68246
2012-02-01,99.84309
2012-03-01,99.91228
2012-04-01,99.89343
2012-05-01,99.80806
2012-06-01,99.69622
2012-07-01,99.61099
2012-08-01,99.57775
2012-09-01,99.6097
2012-10-01,99.68267
2012-11-01,99.78003
2012-12-01,99.9062
2013-01-01,100.0524
2013-02-01,100.2009
2013-03-01,100.328
2013-04-01,100.4478
2013-05-01,100.5663
2013-06-01,100.6604
2013-07-01,100.7161
2013-08-01,100.7449
2013-09-01,100.7556
2013-10-01,100.757
2013-11-01,100.7579
2013-12-01,100.7485
2014-01-01,100.7337
2014-02-01,100.7466
2014-03-01,100.7902
2014-04-01,100.847
2014-05-01,100.9012
2014-06-01,100.9475
2014-07-01,100.9767
2014-08-01,100.9913
2014-09-01,100.9901
2014-10-01,100.9616
2014-11-01,100.9098
2014-12-01,100.8305
2015-01-01,100.7302
2015-02-01,100.621
2015-03-01,100.5126
2015-04-01,100.4078
2015-05-01,100.2973
2015-06-01,100.1757
2015-07-01,100.0138
2015-08-01,99.82419
2015-09-01,99.63878
2015-10-01,99.48777
2015-11-01,99.36271
2015-12-01,99.25089
2016-01-01,99.15723
2016-02-01,99.09467
2016-03-01,99.07364
2016-04-01,99.07853
2016-05-01,99.09461
2016-06-01,99.10963
2016-07-01,99.13474
2016-08-01,99.18474
2016-09-01,99.27191
2016-10-01,99.39545
2016-11-01,99.53475
2016-12-01,99.66953
2017-01-01,99.77579
2017-02-01,99.8459
2017-03-01,99.88602
2017-04-01,99.91013
2017-05-01,99.93855
2017-06-01,99.97984
2017-07-01,100.0309
2017-08-01,100.1094
2017-09-01,100.2077
2017-10-01,100.3127
2017-11-01,100.4099
2017-12-01,100.5007
2018-01-01,100.5972
2018-02-01,100.6946
2018-03-01,100.7631
2018-04-01,100.7919
2018-05-01,100.7884
2018-06-01,100.7588
2018-07-01,100.7051
2018-08-01,100.6248
2018-09-01,100.4979
2018-10-01,100.3257
2018-11-01,100.1335
2018-12-01,99.95133
2019-01-01,99.79962
2019-02-01,99.68504
2019-03-01,99.59963
2019-04-01,99.51399
2019-05-01,99.42105
2019-06-01,99.32533
2019-07-01,99.23283
2019-08-01,99.15515
2019-09-01,99.12135
